Estado,Total_de_Zonas
Aguascalientes,7
Baja California Norte,6
Baja California Sur,4
Chiapas,10
Chihuahua,6
Ciudad de México,2
Coahuila,5
Colima,2
Durango,6
Estado de México,10
Guanajuato,5
Guerrero,1
Hidalgo,6
Jalisco,8
Michoacán,1
Morelos,3
Nayarit,2
Nuevo León,13
Oaxaca,4
Puebla,7
Querétaro,7
Quintana Roo,3
San Luis Potosí,5
Sinaloa,1
Sonora,3
Tabasco,3
Tamaulipas,4
Tlaxcala,6
Veracruz,6
Yucatán,6
Zacatecas,4
